Index,Fibonacci_Value
1,1.0
2,1.0
3,2.0
4,3.0
5,5.0
6,8.0
7,13.0
8,21.0
9,34.0
10,55.0
11,89.0
12,144.0
13,233.0
14,377.0
15,610.0
16,987.0
17,1597.0
18,2584.0
19,4181.0
20,6765.0
21,10946.0
22,17711.0
23,28657.0
24,46368.0
25,75025.0
26,121393.0
27,196418.0
28,317811.0
29,514229.0
30,832040.0
31,1346269.0
32,2178309.0
33,3524578.0
34,5702887.0
35,9227465.0
36,14930352.0
37,24157817.0
38,39088169.0
39,63245986.0
40,102334155.0
41,165580141.0
42,267914296.0
43,433494437.0
44,701408733.0
45,1134903170.0
46,1836311903.0
47,2971215073.0
48,4807526976.0
49,7778742049.0
50,12586269025.0
51,20365011074.0
52,32951280099.0
53,53316291173.0
54,86267571272.0
55,139583862445.0
56,225851433717.0
57,365435296162.0
58,591286729879.0
59,956722026041.0
60,1548008755920.0
61,2504730781961.0
62,4052739537881.0
63,6557470319842.0
64,10610209857723.0
65,17167680177565.0
66,27777890035288.0
67,44945570212853.0
68,72723460248141.0
69,117669030460994.0
70,190392490709135.0
71,308061521170129.0
72,498454011879264.0
73,806515533049393.0
74,1304969544928657.0
75,2111485077978050.0
76,3416454622906707.0
77,5527939700884757.0
78,8944394323791464.0
79,1.447233402467622e+16
80,2.3416728348467684e+16
81,3.78890623731439e+16
82,6.130579072161158e+16
83,9.919485309475549e+16
84,1.6050064381636707e+17
85,2.5969549691112256e+17
86,4.2019614072748966e+17
87,6.798916376386122e+17
88,1.1000877783661019e+18
89,1.779979416004714e+18
90,2.880067194370816e+18
91,4.66004661037553e+18
92,7.540113804746346e+18
93,1.2200160415121877e+19
94,1.9740274219868226e+19
95,3.19404346349901e+19
96,5.168070885485833e+19
97,8.362114348984843e+19
98,1.3530185234470676e+20
99,2.189229958345552e+20
100,3.54224848179262e+20
101,5.731478440138172e+20
102,9.273726921930792e+20
103,1.5005205362068963e+21
104,2.4278932283999755e+21
105,3.9284137646068717e+21
106,6.356306993006848e+21
107,1.028472075761372e+22
108,1.6641027750620568e+22
109,2.6925748508234288e+22
110,4.356677625885486e+22
111,7.049252476708914e+22
112,1.14059301025944e+23
113,1.8455182579303315e+23
114,2.9861112681897715e+23
115,4.831629526120103e+23
116,7.817740794309875e+23
117,1.2649370320429978e+24
118,2.0467111114739851e+24
119,3.3116481435169827e+24
120,5.358359254990968e+24
