==PROF== Connected to process 3051812 (/usr/bin/python3.12)
==PROF== Disconnected from process 3051812
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","3051812","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::FillFunctor<int>, std::array<char *, 1>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","39424"
"1","3051812","python3.12","127.0.0.1","void at::index_elementwise_kernel<128, 4, void at::gpu_index_kernel<void at::index_kernel_impl<at::OpaqueType<4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","14592"
"2","3051812","python3.12","127.0.0.1","void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","1","7","(128, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4480"
"3","3051812","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::CUDAFunctor_add<long>, std::array<char *, 3>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","5248"
"4","3051812","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<int>, std::array<char *, 3>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","2496"
"5","3051812","python3.12","127.0.0.1","void at::unrolled_elementwise_kernel<at::FillFunctor<int>, std::array<char *, 1>, 4, TrivialOffsetCalculator<0, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithoutCast, memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)","1","7","(128, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1408"
"6","3051812","python3.12","127.0.0.1","_compute_slot_mapping_kernel","1","7","(128, 1, 1)","(2, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","13280"
"7","3051812","python3.12","127.0.0.1","_compute_slot_mapping_kernel","1","7","(128, 1, 1)","(2, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","23392"
"8","3051812","python3.12","127.0.0.1","_compute_slot_mapping_kernel","1","7","(128, 1, 1)","(2, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","17440"
"9","3051812","python3.12","127.0.0.1","_compute_slot_mapping_kernel","1","7","(128, 1, 1)","(2, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","24480"
"10","3051812","python3.12","127.0.0.1","_compute_slot_mapping_kernel","1","7","(128, 1, 1)","(2, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4608"
"11","3051812","python3.12","127.0.0.1","_compute_slot_mapping_kernel","1","7","(128, 1, 1)","(2, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","25536"
"12","3051812","python3.12","127.0.0.1","void at::unrolled_elementwise_kernel<at::CUDAFunctorOnSelf_add<int>, std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithoutCast, memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)","1","7","(128, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1824"
"13","3051812","python3.12","127.0.0.1","triton_red_fused__to_copy_embedding_mul_rms_norm_0","1","7","(512, 1, 1)","(512, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","30176"
"14","3051812","python3.12","127.0.0.1","nvjet_sm121_tst_mma_128x176x64_2_32x88x64_tmaAB_bz_TNNN","1","7","(64, 4, 1)","(512, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","360000"
"15","3051812","python3.12","127.0.0.1","triton_red_fused_1","1","7","(512, 1, 1)","(2048, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","61792"
"16","3051812","python3.12","127.0.0.1","triton_poi_fused_2","1","7","(256, 1, 1)","(3072, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","82464"
"17","3051812","python3.12","127.0.0.1","reshape_and_cache_kernel_flash","1","7","(512, 1, 1)","(512, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","60320"
"18","3051812","python3.12","127.0.0.1","kernel_unified_attention","1","7","(128, 1, 1)","(65, 8, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","291904"
"19","3051812","python3.12","127.0.0.1","nvjet_sm121_tst_mma_128x128x64_3_32x64x64_tmaAB_bz_TNNN","1","7","(64, 4, 1)","(176, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","237216"
"20","3051812","python3.12","127.0.0.1","triton_red_fused__to_copy_add_moe_forward_mul_rms_norm_0","1","7","(256, 1, 1)","(512, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","54080"
"21","3051812","python3.12","127.0.0.1","nvjet_sm121_tst_mma_32x64x64_8_32x16x64_tmaAB_bz_TNNN","1","7","(128, 1, 1)","(32, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","19296"
"22","3051812","python3.12","127.0.0.1","nvjet_sm121_tst_mma_128x128x64_3_32x64x64_tmaAB_bz_TNNN","1","7","(64, 4, 1)","(264, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","236032"
"23","3051812","python3.12","127.0.0.1","triton_poi_fused_1","1","7","(256, 1, 1)","(2240, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","22688"
"24","3051812","python3.12","127.0.0.1","_gemma4_routing_kernel","1","7","(32, 1, 1)","(512, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4384"
"25","3051812","python3.12","127.0.0.1","void moe::moe_align_block_size_kernel<int>(const T1 *, int *, int *, int *, int *, int, int, int, int, unsigned long, int *, int, int, bool)","1","7","(1024, 1, 1)","(2, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","29632"
"26","3051812","python3.12","127.0.0.1","void moe::count_and_sort_expert_tokens_kernel<int>(const T1 *, int *, int *, int *, unsigned long, int, int, int, bool)","1","7","(256, 1, 1)","(1, 16, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","6400"
"27","3051812","python3.12","127.0.0.1","fused_moe_kernel","1","7","(256, 1, 1)","(2090, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","500992"
"28","3051812","python3.12","127.0.0.1","void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::gelu_tanh_kernel<c10::BFloat16>, &vllm::packed_gelu_tanh_kernel<__nv_bfloat162>, 1, 1, 0, 1>(T1 *, const T1 *, int, float)","1","7","(44, 1, 1)","(4096, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","63776"
"29","3051812","python3.12","127.0.0.1","fused_moe_kernel","1","7","(256, 1, 1)","(4180, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","371488"
