==PROF== Connected to process 1185019 (/home/ericbuehler/mistral.rs/target/release/mistralrs)
==PROF== Disconnected from process 1185019
"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4992"
"1","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","66688"
"2","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1920"
"3","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","57792"
"4","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","5696"
"5","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","65248"
"6","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","15584"
"7","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","65792"
"8","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","8352"
"9","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","79840"
"10","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","3904"
"11","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(3072, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","119104"
"12","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4256"
"13","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","63616"
"14","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","13920"
"15","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","73792"
"16","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4384"
"17","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","70784"
"18","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1856"
"19","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","71424"
"20","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","5440"
"21","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","52992"
"22","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","12064"
"23","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(3072, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","126208"
"24","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","7200"
"25","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","68768"
"26","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4320"
"27","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","77216"
"28","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","2880"
"29","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","71136"
"30","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","9856"
"31","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","57760"
"32","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","5376"
"33","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","74240"
"34","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","15168"
"35","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(3072, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","114720"
"36","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","8352"
"37","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","76672"
"38","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","8224"
"39","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","61888"
"40","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","2176"
"41","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","74240"
"42","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","6848"
"43","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","77184"
"44","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","8352"
"45","1185019","mistralrs","127.0.0.1","1185307  ""<default domain>:gemma4.attn.qkv:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_qkv_cuda1","1","34","(32, 8, 1)","(1536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","66816"
