==PROF== Connected to process 1200670 (/home/ericbuehler/mistral.rs/target/release/mistralrs)
==PROF== Disconnected from process 1200670
"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","1200670","mistralrs","127.0.0.1","1201064  ""<default domain>:gemma4.mlp:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","5440"
"1","1200670","mistralrs","127.0.0.1","1201064  ""<default domain>:gemma4.mlp:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_glu_cuda1","1","34","(32, 8, 1)","(5120, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","276960"
"2","1200670","mistralrs","127.0.0.1","1201064  ""<default domain>:gemma4.mlp:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(40, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","2464"
"3","1200670","mistralrs","127.0.0.1","1201064  ""<default domain>:gemma4.mlp:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_plain_cuda1","1","34","(32, 8, 1)","(1280, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","206688"
"4","1200670","mistralrs","127.0.0.1","1201064  ""<default domain>:gemma4.mlp:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1984"
"5","1200670","mistralrs","127.0.0.1","1201064  ""<default domain>:gemma4.mlp:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_glu_cuda1","1","34","(32, 8, 1)","(5120, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","309152"
"6","1200670","mistralrs","127.0.0.1","1201064  ""<default domain>:gemma4.mlp:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(40, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","2240"
"7","1200670","mistralrs","127.0.0.1","1201064  ""<default domain>:gemma4.mlp:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_plain_cuda1","1","34","(32, 8, 1)","(1280, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","173728"
"8","1200670","mistralrs","127.0.0.1","1201064  ""<default domain>:gemma4.mlp:none:none:none:none:none:none"" ","","mmvq_gguf_quantize_q8_1_bf16","1","34","(256, 1, 1)","(10, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1856"
"9","1200670","mistralrs","127.0.0.1","1201064  ""<default domain>:gemma4.mlp:none:none:none:none:none:none"" ","","mmvq_gguf_q8_0_bf16_fused_glu_cuda1","1","34","(32, 8, 1)","(5120, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","301312"
