==PROF== Connected to process 12779 (/home/ericbuehler/mistral.rs/target/release/mistralrs)
==PROF== Disconnected from process 12779
==PROF== Connected to process 13985 (/home/ericbuehler/mistral.rs/target/release/mistralrs)
==PROF== Disconnected from process 13985
==PROF== Connected to process 15059 (/home/ericbuehler/mistral.rs/target/release/mistralrs)
==PROF== Disconnected from process 15059
==PROF== Connected to process 16041 (/home/ericbuehler/mistral.rs/target/release/mistralrs)
==PROF== Disconnected from process 16041
==PROF== Connected to process 17063 (/home/ericbuehler/mistral.rs/target/release/mistralrs)
==PROF== Disconnected from process 17063
==PROF== Connected to process 18129 (/home/ericbuehler/mistral.rs/target/release/mistralrs)
==PROF== Disconnected from process 18129
==PROF== Connected to process 19253 (/home/ericbuehler/mistral.rs/target/release/mistralrs)
==PROF== Disconnected from process 19253
==PROF== Connected to process 20403 (/home/ericbuehler/mistral.rs/target/release/mistralrs)
==PROF== Disconnected from process 20403
==PROF== Connected to process 21651 (/home/ericbuehler/mistral.rs/target/release/mistralrs)
==PROF== Disconnected from process 21651
==PROF== Creating report from application replay data: 0%....................100%
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","12779","mistralrs","127.0.0.1","fused_moe_kernel_entry","1","14","(256, 1, 1)","(2090, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","3132768"
"0","12779","mistralrs","127.0.0.1","fused_moe_kernel_entry","1","14","(256, 1, 1)","(2090, 1, 1)","0","12.1","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","","3069264"
"0","12779","mistralrs","127.0.0.1","fused_moe_kernel_entry","1","14","(256, 1, 1)","(2090, 1, 1)","0","12.1","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","47674704"
"0","12779","mistralrs","127.0.0.1","fused_moe_kernel_entry","1","14","(256, 1, 1)","(2090, 1, 1)","0","12.1","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","47601363"
"0","12779","mistralrs","127.0.0.1","fused_moe_kernel_entry","1","14","(256, 1, 1)","(2090, 1, 1)","0","12.1","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","17.56"
"0","12779","mistralrs","127.0.0.1","fused_moe_kernel_entry","1","14","(256, 1, 1)","(2090, 1, 1)","0","12.1","Command line profiler metrics","smsp__inst_executed_pipe_tensor.sum","inst","15859712"
"1","12779","mistralrs","127.0.0.1","fused_moe_kernel_entry","1","14","(256, 1, 1)","(4180, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","2127712"
"1","12779","mistralrs","127.0.0.1","fused_moe_kernel_entry","1","14","(256, 1, 1)","(4180, 1, 1)","0","12.1","Command line profiler metrics","l1tex__t_requests_pipe_lsu_mem_global_op_ld.sum","","1817464"
"1","12779","mistralrs","127.0.0.1","fused_moe_kernel_entry","1","14","(256, 1, 1)","(4180, 1, 1)","0","12.1","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","24431264"
"1","12779","mistralrs","127.0.0.1","fused_moe_kernel_entry","1","14","(256, 1, 1)","(4180, 1, 1)","0","12.1","Command line profiler metrics","lts__t_sectors_op_read.sum","sector","23908855"
"1","12779","mistralrs","127.0.0.1","fused_moe_kernel_entry","1","14","(256, 1, 1)","(4180, 1, 1)","0","12.1","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","12.87"
"1","12779","mistralrs","127.0.0.1","fused_moe_kernel_entry","1","14","(256, 1, 1)","(4180, 1, 1)","0","12.1","Command line profiler metrics","smsp__inst_executed_pipe_tensor.sum","inst","7929856"
