Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
73.5,104368465088,2537,41138535.7,2880.0,1760,4624919440,261278755.3,cuMemcpyHtoDAsync_v2
22.5,31924800672,9181,3477268.3,384.0,224,3134291664,65591909.3,cuMemAllocAsync
2.3,3225370208,19,169756326.7,33187024.0,195776,2580638032,584369006.4,cuMemcpyDtoHAsync_v2
0.9,1311227840,4,327806960.0,5072.0,1200,1311216496,655606357.3,cudaDeviceSynchronize
0.5,665368464,33,20162680.7,9314736.0,14304,77737872,25034461.5,cuLibraryLoadData
0.1,153624960,13,11817304.6,230656.0,20544,76041440,24134641.5,cuModuleUnload
0.1,107335120,9,11926124.4,3556480.0,1310816,51268688,18000635.0,cuModuleLoadData
0.1,75308880,258,291894.9,176.0,128,71294848,4441803.9,cuKernelGetFunction
0.0,50300864,3420,14707.9,3216.0,208,6657232,222029.3,cuLaunchKernel
0.0,40059312,245,163507.4,160.0,112,27802304,1926390.7,cuKernelSetAttribute
0.0,39346272,9179,4286.6,400.0,240,984448,35933.4,cuMemFreeAsync
0.0,33664064,2090,16107.2,3312.0,416,10580368,255154.0,cudaLaunchKernel_ptsz
0.0,15280304,1,15280304.0,15280304.0,15280304,15280304,0.0,cuGraphInstantiateWithFlags
0.0,10410720,2,5205360.0,5205360.0,2608,10408112,7357802.4,cuCtxSetCurrent
0.0,7118096,4,1779524.0,393464.0,385872,5945296,2777187.3,cuModuleLoad
0.0,7049040,377,18697.7,3184.0,128,4099888,216055.6,cuMemsetD8Async
0.0,5760336,46,125224.7,1544.0,128,1107792,261477.0,cuLibraryGetKernel
0.0,5524768,1,5524768.0,5524768.0,5524768,5524768,0.0,cuGraphUpload
0.0,3306080,30,110202.7,4664.0,2896,3032768,552158.5,cudaLaunchKernelExC_v11060
0.0,3112064,605,5143.9,2912.0,256,1486848,60358.8,cuMemcpyDtoDAsync_v2
0.0,2572464,9,285829.3,17168.0,160,1282224,454592.1,cudaFree
0.0,2529904,3,843301.3,123664.0,1904,2404336,1353265.8,cudaMalloc
0.0,2192560,1,2192560.0,2192560.0,2192560,2192560,0.0,cuGraphExecDestroy
0.0,1899312,14,135665.1,95672.0,88624,589824,131731.2,cuGraphLaunch
0.0,1884320,5,376864.0,194528.0,4080,905056,427231.8,cuStreamCreate
0.0,1824320,1832,995.8,96.0,32,371584,14789.5,cuGetProcAddress_v2
0.0,1415616,245,5778.0,3584.0,2240,264480,17185.6,cuLaunchKernelEx
0.0,1160176,1,1160176.0,1160176.0,1160176,1160176,0.0,cuGraphDestroy
0.0,962528,1,962528.0,962528.0,962528,962528,0.0,cuStreamBeginCapture_v2
0.0,554432,225,2464.1,2352.0,80,17680,1845.0,cudaMemsetAsync
0.0,500768,90,5564.1,3016.0,624,232624,24265.0,cudaLaunchKernel
0.0,487472,30,16249.1,568.0,464,451504,82237.3,cudaEventRecord
0.0,203792,1,203792.0,203792.0,203792,203792,0.0,cudaEventQuery
0.0,197456,2110,93.6,48.0,16,20000,645.8,cuKernelGetName
0.0,54064,1,54064.0,54064.0,54064,54064,0.0,cuStreamEndCapture
0.0,35056,5,7011.2,4160.0,2960,19936,7258.8,cuStreamDestroy_v2
0.0,29168,12,2430.7,1792.0,352,5808,1772.7,cuInit
0.0,27712,18,1539.6,512.0,192,7488,2215.9,cudaEventDestroy
0.0,15040,18,835.6,216.0,192,5488,1573.9,cudaEventCreateWithFlags
0.0,13968,180,77.6,64.0,48,1264,115.7,cuStreamGetCaptureInfo_v2
0.0,832,10,83.2,64.0,48,224,51.0,cuStreamIsCapturing
0.0,672,3,224.0,208.0,160,304,73.3,cudaGetDriverEntryPointByVersion_v12050
0.0,464,4,116.0,136.0,32,160,57.5,cuModuleGetLoadingMode
