Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
49.7,128242432,1,128242432.0,128242432.0,128242432,128242432,0.0,cuMemcpyDtoHAsync_v2
22.7,58604912,672,87209.7,3184.0,2016,6409248,681607.4,cuLaunchKernel
20.9,54020592,1,54020592.0,54020592.0,54020592,54020592,0.0,cuCtxSynchronize
3.2,8306912,337,24649.6,3616.0,2224,597296,79612.2,cudaLaunchKernel_ptsz
1.8,4595488,345,13320.3,2256.0,1760,572720,53805.9,cuMemcpyHtoDAsync_v2
0.5,1319456,205,6436.4,3008.0,2224,266672,25092.5,cuLaunchKernelEx
0.3,880016,67,13134.6,3664.0,2432,355664,43893.2,cuMemsetD8Async
0.3,804608,1686,477.2,384.0,192,38016,1042.1,cuMemAllocAsync
0.3,724656,1686,429.8,384.0,288,10336,281.7,cuMemFreeAsync
0.2,597072,1,597072.0,597072.0,597072,597072,0.0,cuProfilerStart
0.0,66352,205,323.7,160.0,128,2304,421.0,cuKernelSetAttribute
0.0,24048,337,71.4,48.0,32,1264,118.6,cuKernelGetName
0.0,7552,30,251.7,192.0,176,1744,282.3,cuKernelGetFunction
0.0,4112,30,137.1,112.0,96,704,107.8,cudaMemsetAsync
0.0,2688,1,2688.0,2688.0,2688,2688,0.0,cuProfilerStop
