Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
49.5,131240128,1,131240128.0,131240128.0,131240128,131240128,0.0,cuMemcpyDtoHAsync_v2
22.1,58670368,672,87307.1,3184.0,2048,6655408,683254.2,cuLaunchKernel
21.9,58070880,1,58070880.0,58070880.0,58070880,58070880,0.0,cuCtxSynchronize
3.2,8362912,337,24815.8,3568.0,2320,516880,78173.9,cudaLaunchKernel_ptsz
1.7,4523632,345,13112.0,2288.0,1760,727824,57775.1,cuMemcpyHtoDAsync_v2
0.5,1361744,205,6642.7,3472.0,2192,270400,25502.8,cuLaunchKernelEx
0.3,898176,67,13405.6,3712.0,2384,391824,48075.4,cuMemsetD8Async
0.3,830976,1686,492.9,400.0,224,13904,605.2,cuMemAllocAsync
0.3,733600,1686,435.1,384.0,304,8880,260.8,cuMemFreeAsync
0.1,278240,1,278240.0,278240.0,278240,278240,0.0,cuProfilerStart
0.0,58352,205,284.6,160.0,128,2048,297.9,cuKernelSetAttribute
0.0,26752,337,79.4,48.0,16,1120,131.1,cuKernelGetName
0.0,10784,30,359.5,208.0,176,2976,596.3,cuKernelGetFunction
0.0,6624,30,220.8,112.0,96,2464,450.0,cudaMemsetAsync
0.0,3168,1,3168.0,3168.0,3168,3168,0.0,cuProfilerStop
