Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
50.9,126613872,1,126613872.0,126613872.0,126613872,126613872,0.0,cuMemcpyDtoHAsync_v2
23.9,59502688,672,88545.7,3248.0,2032,6636384,689217.3,cuLaunchKernel
18.3,45649856,1,45649856.0,45649856.0,45649856,45649856,0.0,cuCtxSynchronize
3.2,7996736,337,23729.2,3792.0,2272,490384,73536.1,cudaLaunchKernel_ptsz
1.8,4496896,345,13034.5,2272.0,1776,574672,52050.8,cuMemcpyHtoDAsync_v2
0.5,1334960,205,6512.0,3216.0,2256,256992,24194.5,cuLaunchKernelEx
0.5,1207040,67,18015.5,4272.0,2320,627920,77125.4,cuMemsetD8Async
0.3,730304,1686,433.2,384.0,208,10816,363.9,cuMemAllocAsync
0.3,699696,1686,415.0,384.0,304,2784,120.5,cuMemFreeAsync
0.2,597664,1,597664.0,597664.0,597664,597664,0.0,cuProfilerStart
0.0,58816,205,286.9,160.0,112,1568,306.6,cuKernelSetAttribute
0.0,25536,337,75.8,48.0,32,1152,126.2,cuKernelGetName
0.0,7216,30,240.5,176.0,160,1856,305.8,cuKernelGetFunction
0.0,5536,1,5536.0,5536.0,5536,5536,0.0,cuProfilerStop
0.0,3664,30,122.1,112.0,96,448,62.7,cudaMemsetAsync
