Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
78.4,1252458208,4,313114552.0,12920.0,5296,1252427072,626208346.7,cudaDeviceSynchronize
8.4,133665392,1,133665392.0,133665392.0,133665392,133665392,0.0,cuMemcpyDtoHAsync_v2
6.7,106716656,13,8208973.5,209536.0,21616,51409440,16685985.0,cuModuleUnload
1.9,30096608,646,46589.2,3104.0,2080,6908576,517616.7,cuLaunchKernel
1.8,29335424,2934,9998.4,544.0,320,1066176,57000.3,cuMemFreeAsync
1.7,27864512,198,140729.9,160.0,112,27762096,1972932.7,cuKernelSetAttribute
0.3,4757072,327,14547.6,3552.0,2288,481696,57298.6,cudaLaunchKernel_ptsz
0.2,2693888,293,9194.2,2416.0,1808,346864,37192.9,cuMemcpyHtoDAsync_v2
0.1,2325696,7,332242.3,25024.0,128,1336464,498341.2,cudaFree
0.1,2178848,1,2178848.0,2178848.0,2178848,2178848,0.0,cuGraphExecDestroy
0.1,1333728,1580,844.1,400.0,208,125488,4472.4,cuMemAllocAsync
0.1,1137616,1,1137616.0,1137616.0,1137616,1137616,0.0,cuGraphDestroy
0.1,1071408,198,5411.2,3432.0,2256,262288,18682.8,cuLaunchKernelEx
0.0,431200,1,431200.0,431200.0,431200,431200,0.0,cuModuleLoad
0.0,377584,59,6399.7,4016.0,2528,41792,8592.8,cuMemsetD8Async
0.0,149024,2,74512.0,74512.0,35568,113456,55075.1,cuLibraryLoadData
0.0,47936,327,146.6,48.0,32,21072,1173.6,cuKernelGetName
0.0,32720,5,6544.0,3952.0,3072,18464,6678.5,cuStreamDestroy_v2
0.0,16928,18,940.4,576.0,336,6224,1387.4,cudaEventDestroy
0.0,7840,29,270.3,192.0,176,1600,275.6,cuKernelGetFunction
0.0,4896,29,168.8,112.0,96,944,190.4,cudaMemsetAsync
0.0,1504,2,752.0,752.0,240,1264,724.1,cuLibraryGetKernel
