Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
77.5,98747485568,2537,38922934.8,3008.0,1776,4973583344,251059362.5,cuMemcpyHtoDAsync_v2
19.2,24421028160,9181,2659953.0,464.0,208,3153974640,52863109.1,cuMemAllocAsync
2.4,3046724048,19,160353897.3,31917216.0,58192,2414437344,546461993.2,cuMemcpyDtoHAsync_v2
0.5,696049136,33,21092398.1,10882944.0,14272,78937184,25331041.9,cuLibraryLoadData
0.1,113048816,9,12560979.6,3390160.0,1280768,55211936,19253514.6,cuModuleLoadData
0.0,62396608,258,241847.3,176.0,144,58397856,3639791.1,cuKernelGetFunction
0.0,48912816,3420,14302.0,3232.0,496,6547952,220344.9,cuLaunchKernel
0.0,39789088,245,162404.4,160.0,128,27431376,1911267.1,cuKernelSetAttribute
0.0,36274112,2090,17356.0,3368.0,704,10882048,269947.5,cudaLaunchKernel_ptsz
0.0,30605040,3,10201680.0,3988512.0,400352,26216176,13984519.5,cuModuleUnload
0.0,30488480,9169,3325.2,432.0,256,1551024,30346.1,cuMemFreeAsync
0.0,25051088,1,25051088.0,25051088.0,25051088,25051088,0.0,cuGraphInstantiateWithFlags
0.0,10414240,2,5207120.0,5207120.0,2400,10411840,7360585.6,cuCtxSetCurrent
0.0,7131760,4,1782940.0,408520.0,382592,5932128,2766163.0,cuModuleLoad
0.0,6546080,377,17363.6,3312.0,416,3374816,184606.6,cuMemsetD8Async
0.0,5968288,46,129745.4,2280.0,112,939856,272245.8,cuLibraryGetKernel
0.0,4984224,605,8238.4,2880.0,576,1738656,94663.2,cuMemcpyDtoDAsync_v2
0.0,3904016,30,130133.9,4112.0,2960,3701600,674610.4,cudaLaunchKernelExC_v11060
0.0,2947600,14,210542.9,105544.0,93632,1271504,309693.3,cuGraphLaunch
0.0,2851104,1,2851104.0,2851104.0,2851104,2851104,0.0,cuGraphUpload
0.0,2611232,3,870410.7,116736.0,1840,2492656,1406079.7,cudaMalloc
0.0,2514432,1,2514432.0,2514432.0,2514432,2514432,0.0,cuGraphExecDestroy
0.0,2109616,5,421923.2,8464.0,4176,2073232,923131.1,cuStreamCreate
0.0,1417040,245,5783.8,3680.0,2224,254000,16462.3,cuLaunchKernelEx
0.0,1265968,1832,691.0,128.0,32,440400,12074.5,cuGetProcAddress_v2
0.0,1118544,30,37284.8,536.0,384,1084032,197705.9,cudaEventRecord
0.0,1092624,1,1092624.0,1092624.0,1092624,1092624,0.0,cuGraphDestroy
0.0,982512,90,10916.8,3352.0,976,613424,64357.6,cudaLaunchKernel
0.0,725040,225,3222.4,2480.0,96,22752,2954.9,cudaMemsetAsync
0.0,676608,1,676608.0,676608.0,676608,676608,0.0,cuStreamBeginCapture_v2
0.0,673328,9,74814.2,112.0,48,635600,210561.8,cudaFree
0.0,568944,1,568944.0,568944.0,568944,568944,0.0,cudaEventQuery
0.0,300288,4,75072.0,616.0,32,299024,149302.2,cudaDeviceSynchronize
0.0,268000,2110,127.0,48.0,16,24512,888.2,cuKernelGetName
0.0,123152,1,123152.0,123152.0,123152,123152,0.0,cuStreamEndCapture
0.0,29808,12,2484.0,1992.0,352,7136,1984.1,cuInit
0.0,16832,180,93.5,64.0,48,1024,119.0,cuStreamGetCaptureInfo_v2
0.0,16240,18,902.2,256.0,176,5904,1700.6,cudaEventCreateWithFlags
0.0,5568,18,309.3,64.0,32,4224,977.9,cudaEventDestroy
0.0,2688,10,268.8,64.0,48,2144,659.0,cuStreamIsCapturing
0.0,864,4,216.0,208.0,48,400,158.1,cuModuleGetLoadingMode
0.0,784,3,261.3,208.0,192,384,106.5,cudaGetDriverEntryPointByVersion_v12050
