Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
75.6,102904445344,4463,23057236.2,2224.0,1696,5100221328,196793369.7,cuMemcpyHtoDAsync_v2
22.0,29893616960,24734,1208604.2,352.0,208,3989814304,41797266.4,cuMemAllocAsync
1.6,2160524432,19,113711812.2,27412496.0,1758448,1563334480,351986034.1,cuMemcpyDtoHAsync_v2
0.5,653440528,33,19801228.1,8014384.0,14512,78616768,24643895.3,cuLibraryLoadData
0.1,107647184,9,11960798.2,3933232.0,1086336,51594160,18133627.8,cuModuleLoadData
0.0,64521408,10596,6089.2,2240.0,1888,6524624,122433.2,cuLaunchKernel
0.0,63678176,258,246814.6,176.0,144,59710160,3721379.8,cuKernelGetFunction
0.0,52707424,7979,6605.8,2416.0,2096,10756240,134789.9,cudaLaunchKernel_ptsz
0.0,42882240,3,14294080.0,4002400.0,1173232,37706608,20325129.7,cuModuleUnload
0.0,40642080,245,165886.0,176.0,112,29067024,1988959.5,cuKernelSetAttribute
0.0,35291008,24732,1426.9,384.0,272,885728,17035.9,cuMemFreeAsync
0.0,9607216,2,4803608.0,4803608.0,2592,9604624,6789661.9,cuCtxSetCurrent
0.0,8863392,1313,6750.5,2352.0,1600,3855472,107205.4,cuMemsetD8Async
0.0,6976240,4,1744060.0,397200.0,392976,5788864,2696537.9,cuModuleLoad
0.0,5184480,46,112706.1,2240.0,112,898528,242776.8,cuLibraryGetKernel
0.0,4484768,30,149492.3,5120.0,3392,4182928,761928.6,cudaLaunchKernelExC_v11060
0.0,2574880,3,858293.3,118560.0,1808,2454512,1383597.9,cudaMalloc
0.0,1838752,480,3830.7,2496.0,2256,242288,11258.7,cudaLaunchKernel
0.0,1316288,245,5372.6,3376.0,2224,248816,16189.7,cuLaunchKernelEx
0.0,1055984,5,211196.8,192848.0,13792,635824,253264.3,cuStreamCreate
0.0,884144,1832,482.6,144.0,32,247488,7256.2,cuGetProcAddress_v2
0.0,850160,9,94462.2,96.0,64,796592,263673.4,cudaFree
0.0,641792,225,2852.4,2352.0,96,34944,3174.7,cudaMemsetAsync
0.0,590992,7934,74.5,48.0,0,23136,452.3,cuKernelGetName
0.0,457456,30,15248.5,536.0,400,386224,70386.8,cudaEventRecord
0.0,408480,4,102120.0,640.0,64,407136,203344.7,cudaDeviceSynchronize
0.0,202688,1,202688.0,202688.0,202688,202688,0.0,cudaEventQuery
0.0,31664,12,2638.7,2720.0,368,4864,1469.1,cuInit
0.0,15312,180,85.1,64.0,48,1168,125.6,cuStreamGetCaptureInfo_v2
0.0,13216,18,734.2,216.0,176,6464,1519.7,cudaEventCreateWithFlags
0.0,1728,18,96.0,64.0,32,256,66.1,cudaEventDestroy
0.0,912,4,228.0,272.0,48,320,122.1,cuModuleGetLoadingMode
0.0,752,3,250.7,208.0,192,352,88.1,cudaGetDriverEntryPointByVersion_v12050
