Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
64.1,369940960,1293,286110.6,187040.0,23872,920160,228756.8,"void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
9.2,52878144,207,255450.0,254112.0,242944,321760,7488.5,"void unary_gated_op_kernel<&op_gelu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
5.6,32582304,1294,25179.5,13664.0,4832,125120,24193.1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(const float *, const int *, void *, long, long, long, long, long, int, int)"
4.5,25981760,624,41637.4,42784.0,3552,178240,11408.9,"void rms_norm_f32<(int)1024, (bool)1, (bool)1>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
2.5,14435840,178,81100.2,82160.0,53536,173344,15829.9,"void flash_attn_ext_f16<(int)256, (int)256, (int)16, (int)4, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
2.0,11478272,35,327950.6,320352.0,132352,528032,132909.8,"void flash_attn_ext_f16<(int)512, (int)512, (int)16, (int)4, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
2.0,11336544,424,26737.1,26144.0,3200,94944,7315.9,"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
1.7,10025344,879,11405.4,8160.0,7360,78592,6405.2,"void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
1.2,6799008,207,32845.4,31584.0,26944,99328,7044.9,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x256_16x3_tn_align4>(T1::Params)
1.1,6452352,336,19203.4,21632.0,4960,77856,12065.5,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
