Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
62.2,1182380896,4080,289799.2,188592.0,23040,985856,230165.8,"void mul_mat_q<(ggml_type)8, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
8.8,167656224,656,255573.5,254656.0,245888,372736,7204.9,"void unary_gated_op_kernel<&op_gelu, float>(const T2 *, const T2 *, T2 *, long, long, long, long)"
5.6,105882752,4080,25951.7,13920.0,4832,150560,25420.6,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(const float *, const int *, void *, long, long, long, long, long, int, int)"
5.4,103150720,112,920988.6,920256.0,136000,2315584,511702.5,"void flash_attn_ext_f16<(int)512, (int)512, (int)16, (int)4, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
4.3,81032448,1976,41008.3,43232.0,3296,195360,9425.4,"void rms_norm_f32<(int)1024, (bool)1, (bool)1>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
2.5,47864192,560,85471.8,84352.0,54592,253440,15300.3,"void flash_attn_ext_f16<(int)256, (int)256, (int)16, (int)4, (bool)0, (bool)0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)"
1.8,34420992,1340,25687.3,25968.0,2976,238720,8543.6,"void rms_norm_f32<(int)1024, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
1.6,30166432,2768,10898.3,8032.0,7232,68800,5080.4,"void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
1.1,21130208,656,32210.7,31328.0,26304,76320,4904.7,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x256_16x3_tn_align4>(T1::Params)
1.0,19570464,1056,18532.6,21088.0,4768,81696,11912.1,"void rms_norm_f32<(int)256, (bool)1, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.7,14186592,656,21625.9,20496.0,19296,109472,6126.5,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_32x3_tn_align4>(T1::Params)
0.7,13947264,560,24905.8,24288.0,23328,62976,3801.9,"void flash_attn_stream_k_fixup_general<(int)256, (int)16, (int)4>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)"
0.7,13086464,8,1635808.0,1620064.0,127296,3240960,1608280.7,"void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)0, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.6,12304672,1320,9321.7,12192.0,1088,75744,6313.0,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, int, int, int, uint3, uint3, uint3, uint3, uint3, int, int, int, int, int, int, int, int, int, int, int, T5...)"
0.5,9762272,880,11093.5,13376.0,4160,47136,4298.7,"void rope_neox<(bool)1, (bool)0, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int)"
0.4,7759168,64,121237.0,141856.0,44096,157440,44822.3,"scale_f32(const float *, float *, float, float, long)"
0.3,5740864,16,358804.0,352768.0,349888,420096,17111.1,nvjet_sm121_tst_mma_192x144x64_2_48x72x64_tmaAB_bz_TNNN
0.2,4447040,16,277940.0,278688.0,251456,287584,7485.2,"void rms_norm_f32<(int)256, (bool)1, (bool)1>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.2,4421984,768,5757.8,4992.0,3840,44512,2311.0,"void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)"
0.2,3805696,176,21623.3,28880.0,5664,51584,12001.6,"void rope_neox<(bool)1, (bool)1, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int)"
0.2,3609888,656,5502.9,5472.0,3936,21472,1065.4,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.2,3422368,112,30556.9,30992.0,26496,48192,2728.1,"void flash_attn_stream_k_fixup_general<(int)512, (int)16, (int)4>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)"
0.1,2614848,16,163428.0,163120.0,162400,167296,1254.2,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, long)"
0.1,1856032,384,4833.4,4448.0,4128,17504,1136.7,"void rms_norm_f32<(int)256, (bool)0, (bool)0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)"
0.1,1836896,16,114806.0,114096.0,113024,123552,2593.0,"void convert_unary<__nv_bfloat16, float>(const void *, T2 *, long, long, long, uint3, long, long, long)"
0.1,1752096,660,2654.7,2496.0,832,9344,550.3,"void unary_op_kernel<&op_gelu, float>(const T2 *, T2 *, int)"
0.1,1229920,32,38435.0,16560.0,5696,114144,32778.5,"void cpy_scalar_contiguous<float, __half>(const char *, char *, long)"
0.1,1142368,4,285592.0,292256.0,262400,295456,15563.2,"void mul_mat_vec_q<(ggml_type)8, (int)1, (bool)1, (bool)0>(const void *, const void *, const int *, ggml_cuda_mm_fusion_args_device, float *, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, uint3, unsigned int, unsigned int, unsigned int, unsigned int)"
0.0,503680,16,31480.0,31600.0,28768,32128,758.2,"void convert_unary<float, __nv_bfloat16>(const void *, T2 *, long, long, long, uint3, long, long, long)"
0.0,52416,4,13104.0,12848.0,11968,14752,1301.8,"void mul_mat_vec_f<float, float, (int)1, (int)256, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
0.0,49152,4,12288.0,11648.0,11552,14304,1345.8,"void mul_mat_vec_f<float, float, (int)1, (int)128, (bool)0, (bool)0>(const T1 *, const float *, const int *, ggml_cuda_mm_fusion_args_device, float *, int, uint3, int, int, int, uint3, int, int, int, uint3, int, int, int, int)"
0.0,21952,12,1829.3,1712.0,1216,3648,591.6,"void k_get_rows_float<float, float>(const T1 *, const int *, T2 *, long, long, uint3, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
0.0,19680,4,4920.0,4816.0,4736,5312,264.4,"softcap_f32(const float *, float *, float, float, int)"
0.0,15648,12,1304.0,1264.0,768,2976,573.4,"quantize_q8_1(const float *, void *, long, long, long, long, long, unsigned int, uint3)"
0.0,5536,4,1384.0,1376.0,1184,1600,214.5,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, int, int, int, uint3, uint3, uint3, uint3, uint3, int, int, int, int, int, int, int, int, int, int, int, T5...)"
