Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
43.3,24521294368,2440,10049710.8,2368.0,1712,16853550000,350645370.0,CUDA_API,cuMemcpyHtoDAsync_v2
43.0,24390519296,2440,9996114.5,544.0,160,16853493984,350645443.1,MEMORY_OPER,[CUDA memcpy Host-to-Device]
8.8,5012746320,5061,990465.6,432.0,208,114763344,5248647.3,CUDA_API,cuMemAllocAsync
2.4,1339284864,931,1438544.4,7296.0,5248,660752752,30391908.2,CUDA_API,cuMemcpyDtoHAsync_v2
1.0,576377184,20,28818859.2,29647584.0,56096,80258048,25695322.3,CUDA_API,cuLibraryLoadData
1.0,560866448,1826,307155.8,3696.0,2176,42950416,1825223.7,CUDA_API,cudaLaunchKernel_ptsz
0.2,87820752,665,132061.3,19040.0,1600,8936160,719754.1,CUDA_API,cuMemsetD8Async
0.1,68540480,1174,58382.0,2504.0,1984,8700720,477312.5,CUDA_API,cuLaunchKernel
0.1,54106352,8,6763294.0,2184360.0,502528,24246752,9113949.3,CUDA_API,cuModuleLoadData
0.1,50669376,931,54424.7,736.0,544,49346656,1617225.7,MEMORY_OPER,[CUDA memcpy Device-to-Host]
0.0,20995760,22,954352.7,742000.0,2864,2598400,709985.6,CUDA_API,cuCtxSetCurrent
0.0,3088496,4973,621.1,432.0,304,49024,969.0,CUDA_API,cuMemFreeAsync
0.0,2560320,3,853440.0,123296.0,1712,2435312,1371289.5,CUDA_API,cudaMalloc
0.0,1036384,45,23030.8,160.0,144,823888,125708.9,CUDA_API,cuKernelGetFunction
0.0,424512,448,947.6,640.0,576,10848,1139.5,CUDA_KERNEL,cast_bf16_f32
0.0,251536,1832,137.3,112.0,32,4560,141.3,CUDA_API,cuGetProcAddress_v2
0.0,111088,1772,62.7,48.0,16,4752,143.8,CUDA_API,cuKernelGetName
0.0,109152,30,3638.4,1024.0,352,11744,3894.0,CUDA_API,cuLibraryGetKernel
0.0,97376,158,616.3,416.0,160,10816,949.4,MEMORY_OPER,[CUDA memset]
0.0,50272,43,1169.1,1056.0,1056,3552,431.8,CUDA_KERNEL,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_32x1_nn_align2>(T1::Params)
0.0,26976,12,2248.0,736.0,672,10048,2936.6,CUDA_KERNEL,bmul_u8
0.0,21984,12,1832.0,1456.0,992,4128,973.2,CUDA_KERNEL,uexp_f32
0.0,21024,9,2336.0,48.0,32,14832,4903.2,CUDA_API,cudaFree
0.0,19424,13,1494.2,1152.0,512,4352,1175.9,CUDA_KERNEL,const_set_f32
0.0,12896,7,1842.3,1936.0,368,4416,1528.9,CUDA_API,cuInit
0.0,11808,4,2952.0,784.0,48,10192,4876.3,CUDA_API,cudaDeviceSynchronize
0.0,10464,18,581.3,224.0,192,4160,991.0,CUDA_API,cudaEventCreateWithFlags
0.0,8992,12,749.3,704.0,672,1184,144.7,CUDA_KERNEL,ulog_f32
0.0,8832,12,736.0,688.0,608,1088,167.7,CUDA_KERNEL,badd_f32
0.0,3744,1,3744.0,3744.0,3744,3744,0.0,CUDA_KERNEL,const_set_bf16
0.0,1040,18,57.8,48.0,32,160,27.5,CUDA_API,cudaEventDestroy
0.0,720,4,180.0,208.0,32,272,110.4,CUDA_API,cuModuleGetLoadingMode
0.0,624,3,208.0,192.0,160,272,57.7,CUDA_API,cudaGetDriverEntryPointByVersion_v12050
