Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
58.2,8248590768,2076,3973309.6,2368.0,1840,237680672,22438255.4,cudaMemcpyAsync
26.5,3754511744,3451,1087948.9,2288.0,336,123823312,6968775.7,cudaStreamSynchronize
6.4,908413920,7,129773417.1,2759440.0,1712,876791408,329457554.1,cudaMalloc
4.8,684810256,17481,39174.5,3616.0,656,13710080,262875.7,cudaLaunchKernel
1.9,276107952,8,34513494.0,810944.0,9488,265927056,93524372.6,cudaFree
1.6,221091248,22,10049602.2,761504.0,104016,62436016,20918147.4,cuLibraryLoadData
0.1,10087088,40,252177.2,816.0,224,9655584,1525965.9,cuLibraryGetKernel
0.1,9552912,4,2388228.0,3176.0,640,9545920,4771795.2,cudaDeviceSynchronize
0.1,8970304,232,38665.1,4112.0,2336,3121536,206900.2,cudaLaunchKernelExC_v11060
0.1,7969072,127,62748.6,60736.0,57968,278304,19434.6,cudaGraphLaunch_v10000
0.0,6763632,1,6763632.0,6763632.0,6763632,6763632,0.0,cudaGraphInstantiate_v12000
0.0,6669280,2,3334640.0,3334640.0,748336,5920944,3657586.2,cudaMallocHost
0.0,4281968,232,18456.8,3872.0,2048,115248,34690.9,cuLaunchKernel
0.0,3847424,232,16583.7,160.0,128,3784608,248454.4,cuKernelGetFunction
0.0,3328064,2,1664032.0,1664032.0,393440,2934624,1796888.4,cudaFreeHost
0.0,930912,17481,53.3,48.0,0,2096,57.2,cuKernelGetName
0.0,871264,1,871264.0,871264.0,871264,871264,0.0,cudaStreamBeginCapture_v10000
0.0,831280,1,831280.0,831280.0,831280,831280,0.0,cudaGraphExecDestroy_v10000
0.0,617456,4,154364.0,144552.0,74320,254032,84189.2,cuMemCreate
0.0,512336,236,2170.9,1888.0,1520,40800,2693.3,cudaMemset
0.0,476800,1,476800.0,476800.0,476800,476800,0.0,cudaGraphExecUpdate_v10020
0.0,376560,4,94140.0,91200.0,65408,128752,31558.4,cuMemSetAccess
0.0,372080,1,372080.0,372080.0,372080,372080,0.0,cudaGraphDestroy_v10000
0.0,368528,1,368528.0,368528.0,368528,368528,0.0,cuMemUnmap
0.0,199616,882,226.3,144.0,48,2368,251.7,cuGetProcAddress_v2
0.0,157136,4,39284.0,42008.0,7616,65504,23978.9,cudaMemGetInfo
0.0,146048,232,629.5,352.0,272,7264,927.7,cudaEventRecord
0.0,108064,1392,77.6,48.0,0,2928,142.0,cuStreamGetCaptureInfo_v2
0.0,52064,2,26032.0,26032.0,21664,30400,6177.3,cudaMemsetAsync
0.0,20960,1,20960.0,20960.0,20960,20960,0.0,cudaStreamCreateWithFlags
0.0,19424,1,19424.0,19424.0,19424,19424,0.0,cuMemAddressReserve
0.0,17552,1,17552.0,17552.0,17552,17552,0.0,cuMemAddressFree
0.0,17312,1,17312.0,17312.0,17312,17312,0.0,cudaStreamEndCapture_v10000
0.0,14560,4,3640.0,3064.0,2160,6272,1909.3,cuMemMap
0.0,9376,18,520.9,216.0,176,2448,689.6,cudaEventCreateWithFlags
0.0,9136,1,9136.0,9136.0,9136,9136,0.0,cudaStreamDestroy
0.0,8880,1,8880.0,8880.0,8880,8880,0.0,cudaEventQuery
0.0,7904,18,439.1,376.0,192,1232,238.3,cudaEventDestroy
0.0,5856,3,1952.0,80.0,48,5728,3270.2,cuModuleGetLoadingMode
0.0,5840,4,1460.0,1424.0,368,2624,1168.9,cuInit
0.0,5280,7,754.3,368.0,128,2432,818.5,cudaGetDeviceProperties_v12000
0.0,2928,1,2928.0,2928.0,2928,2928,0.0,cuMemGetAllocationGranularity
0.0,720,3,240.0,208.0,192,320,69.7,cudaGetDriverEntryPointByVersion_v12050
0.0,672,4,168.0,160.0,112,240,66.0,cuMemRelease
