Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
64.6,8107967680,1426,5685811.8,2624.0,1856,237106544,26438508.5,cudaMemcpyAsync
15.5,1944757888,2151,904118.0,2080.0,320,122425280,7303644.9,cudaStreamSynchronize
8.2,1029001456,101686,10119.4,2576.0,1968,110041472,359498.9,cudaLaunchKernel
7.4,927989472,7,132569924.6,2773632.0,2016,891144432,334572338.5,cudaMalloc
2.2,276987360,8,34623420.0,803176.0,8864,266785568,93827024.5,cudaFree
1.8,230826208,22,10492100.4,876640.0,95440,63687312,21106705.4,cuLibraryLoadData
0.1,9121696,232,39317.7,4112.0,2288,3184176,211192.8,cudaLaunchKernelExC_v11060
0.1,7315440,2,3657720.0,3657720.0,623136,6692304,4291549.8,cudaMallocHost
0.0,4872608,101686,47.9,48.0,0,18752,72.5,cuKernelGetName
0.0,4242528,232,18286.8,3768.0,2032,105472,34514.6,cuLaunchKernel
0.0,3998880,232,17236.6,160.0,112,3945936,259048.8,cuKernelGetFunction
0.0,2965280,2,1482640.0,1482640.0,489504,2475776,1404506.4,cudaFreeHost
0.0,631760,1,631760.0,631760.0,631760,631760,0.0,cuMemUnmap
0.0,615120,4,153780.0,127088.0,87936,273008,85310.7,cuMemCreate
0.0,478208,236,2026.3,1856.0,1600,32640,2058.1,cudaMemset
0.0,331040,4,82760.0,73136.0,60288,124480,28926.8,cuMemSetAccess
0.0,150272,4,37568.0,42048.0,6896,59280,22045.2,cudaMemGetInfo
0.0,137312,882,155.7,96.0,32,768,119.8,cuGetProcAddress_v2
0.0,134528,232,579.9,352.0,272,8240,907.8,cudaEventRecord
0.0,102112,1392,73.4,48.0,0,2800,131.5,cuStreamGetCaptureInfo_v2
0.0,78704,40,1967.6,760.0,256,8288,2520.9,cuLibraryGetKernel
0.0,54256,2,27128.0,27128.0,22576,31680,6437.5,cudaMemsetAsync
0.0,18736,1,18736.0,18736.0,18736,18736,0.0,cuMemAddressReserve
0.0,17680,4,4420.0,4144.0,2800,6592,1584.9,cuMemMap
0.0,16976,1,16976.0,16976.0,16976,16976,0.0,cuMemAddressFree
0.0,15712,1,15712.0,15712.0,15712,15712,0.0,cudaStreamCreateWithFlags
0.0,10672,18,592.9,208.0,176,4144,1026.7,cudaEventCreateWithFlags
0.0,10400,1,10400.0,10400.0,10400,10400,0.0,cudaEventQuery
0.0,9040,1,9040.0,9040.0,9040,9040,0.0,cudaStreamDestroy
0.0,8848,4,2212.0,1568.0,752,4960,1982.6,cudaDeviceSynchronize
0.0,7168,18,398.2,400.0,128,1360,273.0,cudaEventDestroy
0.0,6784,4,1696.0,1656.0,528,2944,1046.3,cuInit
0.0,5152,7,736.0,384.0,80,2448,834.6,cudaGetDeviceProperties_v12000
0.0,4208,3,1402.7,64.0,32,4112,2346.4,cuModuleGetLoadingMode
0.0,3056,1,3056.0,3056.0,3056,3056,0.0,cuMemGetAllocationGranularity
0.0,736,3,245.3,192.0,176,368,106.5,cudaGetDriverEntryPointByVersion_v12050
0.0,688,4,172.0,168.0,112,240,61.8,cuMemRelease
