Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
38.1,7744573040,37377,207201.6,2032.0,1680,4384485248,22728568.0,cuMemcpyHtoDAsync_v2
31.5,6397472912,174392,36684.4,400.0,208,185855200,1666250.4,cuMemAllocAsync
15.5,3143500864,131,23996189.8,16309008.0,26976,551931840,60270786.8,cuMemcpyDtoHAsync_v2
3.9,789747744,79965,9876.2,2336.0,1888,57974416,493973.0,cuLaunchKernel
3.2,657086272,22,29867557.8,1192984.0,1904,304087952,88703441.9,cuCtxSetCurrent
2.7,556158000,24,23173250.0,10734896.0,39392,76707376,24762774.6,cuLibraryLoadData
2.1,436123376,70033,6227.4,2576.0,2048,38626160,223502.4,cudaLaunchKernel_ptsz
2.0,396966416,4,99241604.0,568.0,32,396965248,198482429.3,cudaDeviceSynchronize
0.4,75089840,174385,430.6,416.0,272,106976,413.7,cuMemFreeAsync
0.3,56920768,8,7115096.0,1860168.0,386752,27735456,10242551.5,cuModuleLoadData
0.2,36249968,9672,3747.9,2240.0,1600,1001376,19654.6,cuMemsetD8Async
0.1,11262000,3840,2932.8,2768.0,2256,24288,693.2,cudaLaunchKernel
0.1,11193168,63,177669.3,192.0,144,10189264,1285253.7,cuKernelGetFunction
0.0,4596720,60,76612.0,2264.0,1712,4135680,533227.8,cudaMemsetAsync_ptsz
0.0,4127328,30,137577.6,3624.0,2656,4008560,731114.3,cudaLaunchKernelExC_v11060
0.0,3438224,69428,49.5,48.0,0,9552,54.1,cuKernelGetName
0.0,2538992,3,846330.7,120192.0,1872,2416928,1361463.1,cudaMalloc
0.0,1492080,8,186510.0,68160.0,18736,863696,284589.0,cuModuleUnload
0.0,338832,60,5647.2,3712.0,2880,50752,6603.0,cudaMemcpyAsync_ptsz
0.0,227984,1832,124.4,80.0,32,2064,106.5,cuGetProcAddress_v2
0.0,149120,44,3389.1,936.0,128,52320,7989.4,cuLibraryGetKernel
0.0,114784,30,3826.1,3168.0,2320,11728,1848.4,cuLaunchKernelEx
0.0,36400,30,1213.3,136.0,96,30880,5610.8,cuKernelSetAttribute
0.0,32400,30,1080.0,512.0,432,10208,2002.0,cudaEventRecord
0.0,23808,9,2645.3,48.0,32,16432,5453.7,cudaFree
0.0,16608,180,92.3,64.0,48,976,126.3,cuStreamGetCaptureInfo_v2
0.0,13520,18,751.1,208.0,192,6128,1471.7,cudaEventCreateWithFlags
0.0,12864,7,1837.7,1824.0,352,4944,1557.0,cuInit
0.0,3280,1,3280.0,3280.0,3280,3280,0.0,cudaEventQuery
0.0,3120,18,173.3,48.0,32,2224,511.9,cudaEventDestroy
0.0,752,3,250.7,192.0,160,400,130.3,cudaGetDriverEntryPointByVersion_v12050
0.0,512,4,128.0,96.0,48,272,102.0,cuModuleGetLoadingMode
