Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
38.9,7772242464,19649,395554.1,2096.0,1728,4446284672,31780070.4,cuMemcpyHtoDAsync_v2
33.5,6684468224,89720,74503.7,384.0,208,281480896,2497192.3,cuMemAllocAsync
15.0,2988943792,67,44611101.4,16179120.0,26928,1464947152,183544099.6,cuMemcpyDtoHAsync_v2
3.1,625174256,22,28417011.6,1459256.0,2512,212412304,61505640.8,cuCtxSetCurrent
2.8,560164224,24,23340176.0,10832024.0,32816,77543712,24820356.0,cuLibraryLoadData
2.4,479415264,40797,11751.2,2544.0,1856,44324592,368886.1,cuLaunchKernel
2.0,401169104,4,100292276.0,640.0,32,401167792,200583677.3,cudaDeviceSynchronize
1.5,303343168,35985,8429.7,2768.0,2048,21602560,195327.9,cudaLaunchKernel_ptsz
0.3,57477376,8,7184672.0,1836176.0,376112,28189040,10408292.4,cuModuleLoadData
0.2,38762464,89713,432.1,416.0,256,42352,274.4,cuMemFreeAsync
0.1,27324976,5064,5395.9,2448.0,1616,1055664,27759.8,cuMemsetD8Async
0.1,11032656,63,175121.5,192.0,160,9933152,1254287.9,cuKernelGetFunction
0.0,6644160,1920,3460.5,2944.0,2304,155360,6053.6,cudaLaunchKernel
0.0,3855872,30,128529.1,3768.0,2512,3736384,681418.9,cudaLaunchKernelExC_v11060
0.0,2599632,3,866544.0,113392.0,1712,2484528,1402327.4,cudaMalloc
0.0,1811712,8,226464.0,63416.0,16512,1180416,394210.2,cuModuleUnload
0.0,1780384,35700,49.9,48.0,0,3488,50.2,cuKernelGetName
0.0,459312,60,7655.2,2168.0,1728,86752,18292.5,cudaMemsetAsync_ptsz
0.0,290016,60,4833.6,3432.0,2880,27152,4144.3,cudaMemcpyAsync_ptsz
0.0,229664,1832,125.4,80.0,48,1808,103.1,cuGetProcAddress_v2
0.0,116688,30,3889.6,3352.0,2384,10896,1731.2,cuLaunchKernelEx
0.0,107232,44,2437.1,784.0,80,10288,3107.9,cuLibraryGetKernel
0.0,29776,30,992.5,480.0,400,7904,1681.1,cudaEventRecord
0.0,24896,30,829.9,128.0,112,19616,3556.7,cuKernelSetAttribute
0.0,22736,9,2526.2,64.0,48,15984,5274.3,cudaFree
0.0,15344,180,85.2,64.0,48,928,104.1,cuStreamGetCaptureInfo_v2
0.0,13120,18,728.9,200.0,192,7744,1804.6,cudaEventCreateWithFlags
0.0,11424,7,1632.0,1472.0,368,3680,1257.4,cuInit
0.0,3344,18,185.8,48.0,32,2512,580.7,cudaEventDestroy
0.0,3008,1,3008.0,3008.0,3008,3008,0.0,cudaEventQuery
0.0,832,3,277.3,208.0,176,448,148.7,cudaGetDriverEntryPointByVersion_v12050
0.0,640,4,160.0,152.0,32,304,126.0,cuModuleGetLoadingMode
