==PROF== Connected to process 2488884 (/home/ericbuehler/llama.cpp/build/bin/llama-bench)
==PROF== Disconnected from process 2488884
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2488884","llama-bench","127.0.0.1","scale_f32(const float *, float *, float, float, long)","1","14","(256, 1, 1)","(5632, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","29856"
"1","2488884","llama-bench","127.0.0.1","void rms_norm_f32<1024, 1, 0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)","1","14","(1024, 1, 1)","(512, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","58400"
"2","2488884","llama-bench","127.0.0.1","void quantize_mmq_q8_1<0>(const float *, const int *, void *, long, long, long, long, long, int, int)","1","14","(128, 1, 1)","(512, 6, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","67232"
"3","2488884","llama-bench","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(48, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","260704"
"4","2488884","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<8, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","1","14","(32, 4, 1)","(48, 4, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","45920"
"5","2488884","llama-bench","127.0.0.1","void rms_norm_f32<256, 1, 0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)","1","14","(256, 1, 1)","(16, 512, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","65696"
"6","2488884","llama-bench","127.0.0.1","void rope_neox<1, 0, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int)","1","14","(1, 256, 1)","(8192, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","55168"
"7","2488884","llama-bench","127.0.0.1","void quantize_mmq_q8_1<0>(const float *, const int *, void *, long, long, long, long, long, int, int)","1","14","(128, 1, 1)","(512, 6, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","47360"
"8","2488884","llama-bench","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(48, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","179840"
"9","2488884","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<8, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","1","14","(32, 4, 1)","(48, 4, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","44576"
"10","2488884","llama-bench","127.0.0.1","void rms_norm_f32<256, 1, 0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)","1","14","(256, 1, 1)","(8, 512, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","35680"
"11","2488884","llama-bench","127.0.0.1","void rope_neox<1, 0, float, float>(const T3 *, T4 *, int, int, int, int, int, int, int, int, int, int, const int *, float, float, float, rope_corr_dims, float, const float *, const long *, int)","1","14","(1, 256, 1)","(4096, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","18944"
"12","2488884","llama-bench","127.0.0.1","void quantize_mmq_q8_1<0>(const float *, const int *, void *, long, long, long, long, long, int, int)","1","14","(128, 1, 1)","(512, 6, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","24128"
"13","2488884","llama-bench","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(48, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","191264"
"14","2488884","llama-bench","127.0.0.1","void mul_mat_q_stream_k_fixup<8, 128, 0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)","1","14","(32, 4, 1)","(48, 4, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","26016"
"15","2488884","llama-bench","127.0.0.1","void rms_norm_f32<256, 0, 0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)","1","14","(256, 1, 1)","(8, 512, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","19872"
"16","2488884","llama-bench","127.0.0.1","void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)","1","14","(256, 1, 1)","(4096, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","21984"
"17","2488884","llama-bench","127.0.0.1","void k_set_rows<float, long, __half>(const T1 *, const T2 *, T3 *, long, long, long, long, long, long, long, long, long, long, long, long, long, long, uint3, uint3, uint3, uint3, uint3)","1","14","(256, 1, 1)","(4096, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","34464"
"18","2488884","llama-bench","127.0.0.1","void cpy_scalar_contiguous<float, __half>(const char *, char *, long)","1","14","(64, 1, 1)","(4096, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","11520"
"19","2488884","llama-bench","127.0.0.1","void flash_attn_ext_f16<256, 256, 32, 2, 0, 0>(const char *, const char *, const char *, const char *, const char *, const int *, float *, float2 *, float, float, float, float, unsigned int, float, int, uint3, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long)","1","14","(32, 4, 1)","(96, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","178496"
"20","2488884","llama-bench","127.0.0.1","void flash_attn_stream_k_fixup_general<256, 32, 2>(float *, const float2 *, int, int, int, int, uint3, uint3, uint3, uint3)","1","14","(256, 1, 1)","(96, 32, 2)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","49888"
"21","2488884","llama-bench","127.0.0.1","void quantize_mmq_q8_1<0>(const float *, const int *, void *, long, long, long, long, long, int, int)","1","14","(128, 1, 1)","(512, 8, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","55360"
"22","2488884","llama-bench","127.0.0.1","void mul_mat_q<8, 128, 0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)","1","14","(32, 8, 1)","(88, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","266144"
"23","2488884","llama-bench","127.0.0.1","void rms_norm_f32<1024, 1, 1>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)","1","14","(1024, 1, 1)","(512, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","94240"
"24","2488884","llama-bench","127.0.0.1","void rms_norm_f32<1024, 0, 0>(const float *, float *, int, long, long, long, float, const float *, long, long, long, uint3, uint3, uint3, uint3, const float *, long, long, long, uint3, uint3, uint3, uint3)","1","14","(1024, 1, 1)","(512, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","37824"
"25","2488884","llama-bench","127.0.0.1","scale_f32(const float *, float *, float, float, long)","1","14","(256, 1, 1)","(5632, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","23424"
"26","2488884","llama-bench","127.0.0.1","void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, int, int, int, uint3, uint3, uint3, uint3, uint3, int, int, int, int, int, int, int, int, int, int, int, T5...)","1","14","(128, 1, 1)","(11, 512, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","57504"
"27","2488884","llama-bench","127.0.0.1","void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_32x3_tn_align4>(T1::Params)","1","14","(128, 1, 1)","(8, 1, 6)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","48480"
"28","2488884","llama-bench","127.0.0.1","void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, 0, float, float, float, 1, 0, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)","1","14","(32, 16, 1)","(4, 32, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","10784"
"29","2488884","llama-bench","127.0.0.1","void soft_max_f32<1, 128, 128, float>(const float *, const T4 *, const float *, float *, soft_max_params)","1","14","(128, 1, 1)","(512, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","6016"
"30","2488884","llama-bench","127.0.0.1","void k_argsort_f32_i32<1>(const float *, int *, int, int)","1","14","(128, 1, 1)","(512, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","21408"
