==PROF== Connected to process 2536813 (/home/ericbuehler/mistral.rs/target/release/mistralrs)
==PROF== Disconnected from process 2536813
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2536813","mistralrs","127.0.0.1","cast_f32_bf16","1","13","(1024, 1, 1)","(65536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1953088"
"1","2536813","mistralrs","127.0.0.1","cast_f32_bf16","1","13","(1024, 1, 1)","(65536, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","2023168"
"2","2536813","mistralrs","127.0.0.1","cast_f32_bf16","1","13","(1024, 1, 1)","(32768, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1008608"
"3","2536813","mistralrs","127.0.0.1","cast_f32_bf16","1","13","(1024, 1, 1)","(32768, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1002912"
"4","2536813","mistralrs","127.0.0.1","cast_bf16_f32","1","13","(1024, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4224"
"5","2536813","mistralrs","127.0.0.1","cast_bf16_f32","1","13","(1024, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1696"
"6","2536813","mistralrs","127.0.0.1","cast_bf16_f32","1","13","(1024, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1696"
"7","2536813","mistralrs","127.0.0.1","cast_bf16_f32","1","13","(1024, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","2624"
"8","2536813","mistralrs","127.0.0.1","cast_bf16_f32","1","13","(1024, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1664"
"9","2536813","mistralrs","127.0.0.1","cast_bf16_f32","1","13","(1024, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4864"
"10","2536813","mistralrs","127.0.0.1","cast_bf16_f32","1","13","(1024, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1792"
"11","2536813","mistralrs","127.0.0.1","cast_bf16_f32","1","13","(1024, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","5376"
"12","2536813","mistralrs","127.0.0.1","cast_bf16_f32","1","13","(1024, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","4768"
"13","2536813","mistralrs","127.0.0.1","cast_bf16_f32","1","13","(1024, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1760"
"14","2536813","mistralrs","127.0.0.1","cast_bf16_f32","1","13","(1024, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","2016"
"15","2536813","mistralrs","127.0.0.1","cast_bf16_f32","1","13","(1024, 1, 1)","(1, 1, 1)","0","12.1","Command line profiler metrics","gpu__time_duration.sum","ns","1792"
